"確定情報","お支払日","ご利用店名（海外ご利用店名／海外都市名）","ご利用日","支払回数","何回目","ご利用金額（円）","現地通貨額・通貨名称・換算レート"
"","","【藤森　健太　様】","","","","",""
"確定","2026年4月10日","ｉＴＳＣＯＭ通信サービス利用料","2026年1月31日","　１","","4,576",""
"確定","2026年4月10日","ニッポンレンタカーサービス","2026年2月17日","　１","","7,480",""
"確定","2026年4月10日","ＥＮＥＯＳ－ＳＳ","2026年2月17日","　１","","553",""
"確定","2026年4月10日","Ｓｔｏｒａｇｅストレ－ジ家具インテリア","2026年2月17日","　１","","550",""
"確定","2026年4月10日","ＳＱ＊キズナリライフ","2026年2月18日","　１","","25,000",""
"確定","2026年4月10日","とりいちず中野北口店","2026年2月18日","　１","","5,596",""
"確定","2026年4月10日","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","2026年2月19日","　１","","21,736",""
"確定","2026年4月10日","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","2026年2月19日","　１","","2,255",""
"確定","2026年4月10日","東京ガス　３６７０－５９３－６０４９","2026年2月19日","　１","","29,438",""
"確定","2026年4月10日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2026年2月20日","　１","","6,380",""
"確定","2026年4月10日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2026年2月20日","　１","","7,490",""
"確定","2026年4月10日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2026年2月22日","　１","","620",""
"確定","2026年4月10日","ＳＱ＊じんべえ川崎店","2026年2月23日","　１","","9,120",""
"確定","2026年4月10日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2026年2月23日","　１","","21,848",""
"確定","2026年4月10日","楽天ペイ　ＪＩＳ　ＳＨＩＮＪＵＫＵ","2026年2月23日","　１","","11,000",""
"確定","2026年4月10日","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","2026年2月24日","　１","","927",""
"確定","2026年4月10日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2026年2月24日","　１","","4,780",""
"確定","2026年4月10日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2026年2月24日","　１","","2,480",""
"確定","2026年4月10日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2026年2月24日","　１","","674",""
"確定","2026年4月10日","医療法人社団ＤＭＨ","2026年2月26日","　１","","5,720",""
"確定","2026年4月10日","ＡＰＰＬＥ．ＣＯＭ／ＢＩＬＬ","2026年2月26日","　１","","1,180",""
"確定","2026年4月10日","鶏屋　塚田農場　西新宿小滝橋","2026年2月27日","　１","","9,988",""
"確定","2026年4月10日","ＢＡＳＥ新宿２号店／Ａｉｒ","2026年2月27日","　１","","4,000",""
"確定","2026年4月10日","メイクマン恵比寿西口店","2026年2月28日","　１","","8,800",""
"確定","2026年4月10日","ウィルビ－クリニック　銀座本院／ＳＢ","2026年2月28日","　１","","2,200",""
"確定","2026年4月10日","リスト","2026年2月28日","　１","","14,600",""
"確定","2026年4月10日","Ｃ、ＳＴＡＮＤ新宿歌舞伎町店","2026年2月28日","　１","","4,720",""
"確定","2026年4月10日","ＧＯアプリ〔プレミアム〕","2026年2月28日","　１","","1,540",""
"確定","2026年4月10日","ｉＴＳＣＯＭ解約違約金","2026年2月28日","　１","","4,576",""
"確定","2026年4月10日","ｉＴＳＣＯＭ通信サービス利用料","2026年2月28日","　１","","4,576",""
"確定","2026年4月10日","ルミネエスト","2026年3月1日","　１","","14,400",""
"確定","2026年4月10日","ＡＰＰＬＥ．ＣＯＭ／ＢＩＬＬ","2026年3月1日","　１","","150",""
"確定","2026年4月10日","ＡＷＳ　Ｊａｐａｎ","2026年3月2日","　１","","185",""
"確定","2026年4月10日","ＺＯＺＯＴＯＷＮ","2026年3月2日","　１","","5,820",""
